=========================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5.revisions
############## CONFLICT ##############
Merge Commit SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Parent1 SHA-1: 33a44c451737a32b40d37db86d8d6b8549fe182a
Parent2 SHA-1: 2b98914f1b59995dfcad20bf9e42da02397a4d9a
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Override
  public boolean hasRemaining() {
    throw new UnsupportedOperationException("no bytes to read");
  }
File path: /tmp/downloads/leakcanary/revisions/rev_33a44_2b989/rev_33a44-2b989/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/FakeHprofBuffer.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Parent1 SHA-1: 33a44c451737a32b40d37db86d8d6b8549fe182a
Parent2 SHA-1: 2b98914f1b59995dfcad20bf9e42da02397a4d9a
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Override
  public long remaining() {
    throw new UnsupportedOperationException("no bytes to read");
  }
File path: /tmp/downloads/leakcanary/revisions/rev_33a44_2b989/rev_33a44-2b989/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/FakeHprofBuffer.java

==================================================================================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11.revisions
############## CONFLICT ##############
Conflict type: ModifierList
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HahaHelperTest.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Before
  public void setUp() {
    buffer = new FakeHprofBuffer();

    snapshot = new Snapshot(buffer);
    // set HPROF identifier size; required for Object instance field lookups
    // cf. https://java.net/downloads/heap-snapshot/hprof-binary-format.html
    snapshot.setIdSize(4);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HahaHelperTest.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Test
  public void readStringOffsetFromHeapDumpInstance() {
    buffer.setIntsToRead(COUNT_VALUE, OFFSET_VALUE, VALUE_ARRAY_INSTANCE_ID);
    buffer.setStringsToRead("abcdef");

    addStringClassToSnapshotWithFields(snapshot, new Field[]{
            new Field(Type.INT, "count"),
            new Field(Type.INT, "offset"),
            new Field(Type.OBJECT, "value")
    });

    ClassInstance stringInstance = createStringInstance();
    createCharArrayValueInstance();

    String actual = HahaHelper.asString(stringInstance);
    assertTrue(actual.equals("bcdef"));
  }
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HahaHelperTest.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Test
  public void defaultToZeroStringOffsetWhenHeapDumpInstanceIsMissingOffsetValue() {
    buffer.setIntsToRead(COUNT_VALUE, VALUE_ARRAY_INSTANCE_ID);
    buffer.setStringsToRead("abcdef");

    addStringClassToSnapshotWithFields(snapshot, new Field[]{
            new Field(Type.INT, "count"),
            new Field(Type.OBJECT, "value")
    });

    ClassInstance stringInstance = createStringInstance();
    createCharArrayValueInstance();

    String actual = HahaHelper.asString(stringInstance);
    assertTrue(actual.equals("abcde"));
  }
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HahaHelperTest.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Test
  public void defaultToZeroStringOffsetWhenReadingMPreview2HeapDump() {
    buffer.setIntsToRead(COUNT_VALUE, OFFSET_VALUE, VALUE_ARRAY_INSTANCE_ID);
    buffer.setStringsToRead("abcdef");

    addStringClassToSnapshotWithFields(snapshot, new Field[]{
            new Field(Type.INT, "count"),
            new Field(Type.INT, "offset"),
            new Field(Type.OBJECT, "value")
    });

    ClassInstance stringInstance = createStringInstance();
    createCharArrayValueInstance_M_Preview2();

    String actual = HahaHelper.asString(stringInstance);
    assertTrue(actual.equals("abcde"));
  }
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HahaHelperTest.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Test
  public void throwExceptionWhenMissingCharArrayValueForStringInMPreview2HeapDump() {
    buffer.setIntsToRead(COUNT_VALUE, OFFSET_VALUE, VALUE_ARRAY_INSTANCE_ID);
    buffer.setStringsToRead("abcdef");

    addStringClassToSnapshotWithFields(snapshot, new Field[]{
            new Field(Type.INT, "count"),
            new Field(Type.INT, "offset"),
            new Field(Type.OBJECT, "value")
    });

    ClassInstance stringInstance = createStringInstance();
    createObjectValueInstance_M_Preview2();

    try {
      HahaHelper.asString(stringInstance);
      fail("this test should have thrown UnsupportedOperationException");
    }
    catch (UnsupportedOperationException uoe) {
      String message = uoe.getMessage();
      assertTrue(message.equals("Could not find char array in " + stringInstance));
    }
  }
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HahaHelperTest.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
private void addStringClassToSnapshotWithFields(Snapshot snapshot, Field[] fields) {
    ClassObj charArrayClass = new ClassObj(0, null, "char[]", 0);
    snapshot.addClass(CHAR_ARRAY_CLASS_ID, charArrayClass);

    ClassObj stringClass = new ClassObj(0, null, "string", 0);
    stringClass.setFields(fields);
    snapshot.addClass(STRING_CLASS_ID, stringClass);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HahaHelperTest.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
private void createCharArrayValueInstance() {
    ArrayInstance valueArrayInstance = new ArrayInstance(0, null, Type.CHAR, VALUE_ARRAY_LENGTH, 0);
    snapshot.addInstance(VALUE_ARRAY_INSTANCE_ID, valueArrayInstance);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HahaHelperTest.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
private void createCharArrayValueInstance_M_Preview2() {
    ArrayInstance valueInstance = new ArrayInstance(0, null, Type.CHAR, VALUE_ARRAY_LENGTH, 0);
    snapshot.addInstance(STRING_INSTANCE_ID + 16, valueInstance);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HahaHelperTest.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
private void createObjectValueInstance_M_Preview2() {
    ClassInstance valueInstance = new ClassInstance(0, null, 0);
    snapshot.addInstance(STRING_INSTANCE_ID + 16, valueInstance);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HahaHelperTest.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
private ClassInstance createStringInstance() {
    ClassInstance stringInstance = new ClassInstance(STRING_INSTANCE_ID, null, 100);
    stringInstance.setClassId(STRING_CLASS_ID);
    snapshot.addInstance(0, stringInstance);
    return stringInstance;
  }
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HahaHelperTest.java
############## CONFLICT ##############
Conflict type: ModifierList
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public final
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/FakeHprofBuffer.java
############## CONFLICT ##############
Conflict type: ImplementList
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
implements HprofBuffer
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/FakeHprofBuffer.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public void setIntsToRead(int... ints) {
    intsToRead = ints;
    intIndex = 0;
  }
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/FakeHprofBuffer.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public void setStringsToRead(String... strings) {
    stringsToRead = strings;
    stringIndex = 0;
  }
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/FakeHprofBuffer.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Override
  public byte readByte() {
    throw new UnsupportedOperationException("no bytes to read");
  }
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/FakeHprofBuffer.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Override
  public void read(byte[] bytes) {
    throw new UnsupportedOperationException("no bytes to read");
  }
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/FakeHprofBuffer.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Override
  public void readSubSequence(byte[] bytes, int start, int length) {
    if (stringsToRead == null || stringIndex < 0 || stringIndex >= stringsToRead.length) {
      throw new UnsupportedOperationException("no bytes to read");
    }

    String s = stringsToRead[stringIndex++];
    try {
      System.arraycopy(s.getBytes("UTF-16BE"), start, bytes, 0, length);
    } catch (UnsupportedEncodingException e) {
      throw new UnsupportedOperationException(e);
    }
  }
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/FakeHprofBuffer.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Override
  public char readChar() {
    throw new UnsupportedOperationException("no bytes to read");
  }
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/FakeHprofBuffer.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Override
  public short readShort() {
    throw new UnsupportedOperationException("no bytes to read");
  }
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/FakeHprofBuffer.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Override
  public int readInt() {
    if (intsToRead == null || intIndex < 0 || intIndex >= intsToRead.length) {
      throw new UnsupportedOperationException("no bytes to read");
    }
    return intsToRead[intIndex++];
  }
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/FakeHprofBuffer.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Override
  public long readLong() {
    throw new UnsupportedOperationException("no bytes to read");
  }
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/FakeHprofBuffer.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Override
  public float readFloat() {
    throw new UnsupportedOperationException("no bytes to read");
  }
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/FakeHprofBuffer.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Override
  public double readDouble() {
    throw new UnsupportedOperationException("no bytes to read");
  }
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/FakeHprofBuffer.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Override
  public void setPosition(long l) {}
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/FakeHprofBuffer.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Override
  public long position() {
    throw new UnsupportedOperationException("no bytes to read");
  }
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/FakeHprofBuffer.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Override
  public boolean hasRemaining() {
    throw new UnsupportedOperationException("no bytes to read");
  }
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/FakeHprofBuffer.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Parent1 SHA-1: 0328f74323719d214c5043ced6ab20dd06e59d39
Parent2 SHA-1: 2ba11c32fd225abcb6868497931ebd5640719765
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Override
  public long remaining() {
    throw new UnsupportedOperationException("no bytes to read");
  }
File path: /tmp/downloads/leakcanary/revisions/rev_0328f_2ba11/rev_0328f-2ba11/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/FakeHprofBuffer.java

==================================================================================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_1b8c8_60d7d/rev_1b8c8-60d7d.revisions
############## CONFLICT ##############
Conflict type: ModifierList
Merge Commit SHA-1: 66bcd40178f63cb9d1204c06d23ac9965c75728d
Parent1 SHA-1: 1b8c8b3cea86712d00a67b27e7648fa17fc8d8dd
Parent2 SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public
File path: /tmp/downloads/leakcanary/revisions/rev_1b8c8_60d7d/rev_1b8c8-60d7d/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HahaHelperTest.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 66bcd40178f63cb9d1204c06d23ac9965c75728d
Parent1 SHA-1: 1b8c8b3cea86712d00a67b27e7648fa17fc8d8dd
Parent2 SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Before
  public void setUp() {
    buffer = new FakeHprofBuffer();

    snapshot = new Snapshot(buffer);
    // set HPROF identifier size; required for Object instance field lookups
    // cf. https://java.net/downloads/heap-snapshot/hprof-binary-format.html
    snapshot.setIdSize(4);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_1b8c8_60d7d/rev_1b8c8-60d7d/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HahaHelperTest.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 66bcd40178f63cb9d1204c06d23ac9965c75728d
Parent1 SHA-1: 1b8c8b3cea86712d00a67b27e7648fa17fc8d8dd
Parent2 SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Test
  public void readStringOffsetFromHeapDumpInstance() {
    buffer.setIntsToRead(COUNT_VALUE, OFFSET_VALUE, VALUE_ARRAY_INSTANCE_ID);
    buffer.setStringsToRead("abcdef");

    addStringClassToSnapshotWithFields(snapshot, new Field[]{
            new Field(Type.INT, "count"),
            new Field(Type.INT, "offset"),
            new Field(Type.OBJECT, "value")
    });

    ClassInstance stringInstance = createStringInstance();
    createCharArrayValueInstance();

    String actual = HahaHelper.asString(stringInstance);
    assertTrue(actual.equals("bcdef"));
  }
File path: /tmp/downloads/leakcanary/revisions/rev_1b8c8_60d7d/rev_1b8c8-60d7d/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HahaHelperTest.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 66bcd40178f63cb9d1204c06d23ac9965c75728d
Parent1 SHA-1: 1b8c8b3cea86712d00a67b27e7648fa17fc8d8dd
Parent2 SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Test
  public void defaultToZeroStringOffsetWhenHeapDumpInstanceIsMissingOffsetValue() {
    buffer.setIntsToRead(COUNT_VALUE, VALUE_ARRAY_INSTANCE_ID);
    buffer.setStringsToRead("abcdef");

    addStringClassToSnapshotWithFields(snapshot, new Field[]{
            new Field(Type.INT, "count"),
            new Field(Type.OBJECT, "value")
    });

    ClassInstance stringInstance = createStringInstance();
    createCharArrayValueInstance();

    String actual = HahaHelper.asString(stringInstance);
    assertTrue(actual.equals("abcde"));
  }
File path: /tmp/downloads/leakcanary/revisions/rev_1b8c8_60d7d/rev_1b8c8-60d7d/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HahaHelperTest.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: 66bcd40178f63cb9d1204c06d23ac9965c75728d
Parent1 SHA-1: 1b8c8b3cea86712d00a67b27e7648fa17fc8d8dd
Parent2 SHA-1: 60d7dd996d227548c01800e0c4d168695e115ac3
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Test
  public void defaultToZeroStringOffsetWhenReadingMPreview2HeapDump() {
    buffer.setIntsToRead(COUNT_VALUE, OFFSET_VALUE, VALUE_ARRAY_INSTANCE_ID);
    buffer.setStringsToRead("abcdef");

    addStringClassToSnapshotWithFields(snapshot, new Field[]{
